date,observation_time,temperature,weather_code,weather_descriptions,wind_speed,wind_degree,wind_dir,pressure,precip,humidity,cloudcover,feelslike,uv_index,visibility,is_day,location
25-08-2021,08:15 AM,26,116,Partly cloudy,11,220,SW,1012,0,,50,27,7,8,yes,Bangalore
25-08-2021,08:57 AM,,116,Partly cloudy,,240,WSW,1011,0.4,,50,28,6,8,yes,Bangalore
25-08-2021,09:47 AM,27,116,Partly cloudy,,240,WSW,1010,0.4,,50,28,6,,yes,Bangalore
25-08-2021,09:48 AM,,116,Partly cloudy,,251,WSW,1006,0,,44,40,9,,yes,Vellore
25-08-2021,09:49 AM,,116,Partly cloudy,,240,WSW,1006,0.1,,75,38,8,,yes,Mumbai
25-08-2021,09:49 AM,,113,Sunny,,283,WNW,999,0,,8,48,10,,yes,Delhi
25-08-2021,10:00 AM,,143,Haze,,180,S,998,0,,75,39,9,,yes,Kolkata
25-08-2021,11:43 AM,,389,"Haze, Rain With Thunderstorm",,180,S,997,0.1,,75,42,7,,yes,Kolkata
25-08-2021,11:41 AM,,143,Haze,,230,SW,1005,0.1,,75,33,8,,yes,Mumbai
25-08-2021,11:44 AM,,353,Light rain shower,,261,W,1003,0.3,,77,38,7,,yes,Vellore
25-08-2021,11:45 AM,,143,Haze,,270,W,999,0,,50,38,10,,yes,Delhi
25-08-2021,11:46 AM,,116,Partly cloudy,,290,WNW,1010,1.3,,50,28,6,,yes,Bangalore
25-08-2021,12:27 PM,,116,Partly cloudy,,290,WNW,1010,1.3,,50,28,6,,yes,Bangalore
25-08-2021,12:27 PM,,353,Light rain shower,,261,W,1003,0.3,,77,38,7,,yes,Vellore
25-08-2021,12:28 PM,,143,Haze,,230,SW,1005,0.1,75,75,35,8,,yes,Mumbai
25-08-2021,12:28 PM,,143,Haze,,250,WSW,998,0,56,50,36,10,,yes,Delhi
25-08-2021,12:28 PM,,389,"Thunderstorm, Rain With Thunderstorm",,270,W,998,0.1,80,75,37,7,3,yes,Kolkata
25-08-2021,12:54 PM,,116,Partly cloudy,,320,NW,1010,0.4,,50,28,6,10,yes,Bangalore
